City,Date,Value,Year,Month,Value_lag1,temperature_2m_mean (°C)_lag1,temperature_2m_max (°C)_lag1,temperature_2m_min (°C)_lag1,apparent_temperature_mean (°C)_lag1,apparent_temperature_max (°C)_lag1,apparent_temperature_min (°C)_lag1,precipitation_sum (mm)_lag1,rain_sum (mm)_lag1,precipitation_hours (h)_lag1,shortwave_radiation_sum (MJ/m²)_lag1,et0_fao_evapotranspiration (mm)_lag1,wind_speed_10m_max (km/h)_lag1,wind_gusts_10m_max (km/h)_lag1,wind_direction_10m_dominant (°)_lag1,weather_code (wmo code)_lag1,utc_offset_seconds_lag1
Ampara,2017-02-01,345,2017,2,625.0,24.316129032258065,28.14516129032258,21.496774193548386,27.348387096774193,31.52258064516129,24.31935483870968,213.9,213.9,252.0,497.43,104.43,20.9,42.8,235.32258064516128,51.0,19800.0
Ampara,2017-03-01,437,2017,3,345.0,24.650000000000002,28.52857142857143,21.435714285714287,28.110714285714288,32.517857142857146,24.625,84.2,84.2,198.0,515.7,105.19,21.9,45.7,108.32142857142857,51.0,19800.0
Ampara,2017-04-01,269,2017,4,437.0,26.23225806451613,30.532258064516128,23.05806451612903,31.151612903225807,36.5516129032258,27.56451612903226,101.39999999999999,101.39999999999999,184.0,658.91,134.46,17.9,38.5,101.74193548387096,51.0,19800.0
Ampara,2017-05-01,237,2017,5,269.0,28.06,33.43333333333333,24.063333333333333,33.64666666666667,39.873333333333335,29.153333333333332,52.2,52.2,84.0,707.71,151.13,16.6,38.5,131.73333333333332,51.0,19800.0
Ampara,2017-06-01,232,2017,6,237.0,28.893548387096775,34.13548387096775,25.154838709677417,34.32258064516129,40.5258064516129,30.316129032258065,110.9,110.9,107.0,658.69,147.03,22.9,45.0,173.4516129032258,53.0,19800.0
Ampara,2017-07-01,422,2017,7,232.0,29.926666666666666,36.20666666666667,25.55666666666667,34.233333333333334,41.02333333333333,30.02,56.2,56.2,56.0,621.06,152.44,25.0,52.6,204.8,63.0,19800.0
Ampara,2017-08-01,251,2017,8,422.0,30.351612903225806,37.52258064516129,26.041935483870965,34.25806451612903,41.28709677419355,30.212903225806453,81.6,81.6,71.0,636.94,164.23,31.7,66.2,179.25806451612902,51.0,19800.0
Ampara,2017-09-01,190,2017,9,251.0,29.596774193548388,35.65483870967742,25.625806451612902,33.91290322580645,40.41612903225807,29.970967741935485,101.0,101.0,89.0,626.44,152.02,28.7,61.6,193.41935483870967,51.0,19800.0
Ampara,2017-10-01,200,2017,10,190.0,28.10666666666667,33.29333333333333,24.686666666666667,32.96333333333333,39.00666666666667,29.323333333333334,162.5,162.5,121.0,602.26,134.52,18.9,49.0,170.3,61.0,19800.0
Ampara,2017-11-01,229,2017,11,200.0,27.68064516129032,32.68064516129032,24.69677419354839,32.748387096774195,38.41935483870968,29.574193548387097,306.7,306.7,183.0,563.04,125.13,19.9,45.4,156.8709677419355,63.0,19800.0
Ampara,2017-12-01,643,2017,12,229.0,25.60666666666667,29.09,23.28666666666667,30.303333333333335,34.3,27.46333333333333,412.6,412.6,354.0,398.65,83.63,25.9,51.5,227.23333333333332,63.0,19800.0
Ampara,2018-01-01,597,2018,1,643.0,25.20967741935484,28.54516129032258,22.73225806451613,29.238709677419354,32.84838709677419,26.532258064516128,135.1,135.1,267.0,458.42,95.48,21.9,46.8,234.61290322580646,51.0,19800.0
Ampara,2018-02-01,244,2018,2,597.0,24.396774193548385,28.248387096774195,21.48709677419355,27.5,31.629032258064516,24.41290322580645,64.4,64.4,151.0,501.37,105.19,19.2,42.1,294.0,51.0,19800.0
Ampara,2018-03-01,154,2018,3,244.0,24.810714285714287,28.62857142857143,21.928571428571427,28.474999999999998,32.81785714285714,25.428571428571427,104.9,104.9,225.0,482.14,98.74,17.2,38.5,122.07142857142857,51.0,19800.0
Ampara,2018-04-01,156,2018,4,154.0,26.1,29.990322580645163,23.116129032258065,31.0258064516129,35.84838709677419,27.603225806451615,150.7,150.7,263.0,578.0699999999999,119.1,15.6,38.2,119.45161290322581,63.0,19800.0
Ampara,2018-05-01,154,2018,5,156.0,26.83,30.996666666666666,23.73,32.27,37.56666666666667,28.709999999999997,142.9,142.9,218.0,604.11,125.02,14.6,36.4,148.7,53.0,19800.0
Ampara,2018-06-01,126,2018,6,154.0,27.096774193548388,31.6,24.12258064516129,32.4741935483871,38.222580645161294,29.03548387096774,198.0,198.0,161.0,571.99,120.54,21.1,43.6,170.2258064516129,63.0,19800.0
Ampara,2018-07-01,180,2018,7,126.0,28.4,33.49666666666666,24.709999999999997,33.12,39.05333333333333,29.133333333333333,46.3,46.3,68.0,629.52,142.57,25.4,57.2,205.9,51.0,19800.0
Ampara,2018-08-01,97,2018,8,180.0,29.85483870967742,36.18709677419355,25.03548387096774,32.99677419354838,39.04838709677419,28.94193548387097,31.1,31.1,52.0,649.48,176.73,34.7,73.1,215.0,1.0,19800.0
Ampara,2018-09-01,43,2018,9,97.0,29.812903225806455,36.41290322580645,25.003225806451614,32.80967741935484,39.193548387096776,28.883870967741935,39.800000000000004,39.800000000000004,57.0,639.58,176.34,36.0,76.0,207.67741935483872,51.0,19800.0
